#invoker	msys:MINGW64	win32
AI_AGENT	b78b8bc44adf
ALLUSERSPROFILE	6bad29400e5e
APPDATA	e871d574aba3
CHOCOLATEYINSTALL	dcf622f69979
CHOCOLATEYLASTPATHUPDATE	bcea5242cf82
CLAUDECODE	6b86b273ff34
CLAUDE_EFFORT	c082456a7766
CLAUDE_PID	1eeb17a47e5a
COMMONPROGRAMFILES	8ba090519e9e
COMMONPROGRAMFILES(X86)	4fc8a90c3c38
COMMONPROGRAMW6432	8ba090519e9e
COMPUTERNAME	46d9bc95685f
COMSPEC	56a79d121b8a
CONFIGSETROOT	f275e154c34e
COREPACK_ENABLE_AUTO_PIN	5feceb66ffc8
CUDA_PATH	b7bcc561db0b
CUDA_PATH_V12_8	b7bcc561db0b
DRIVERDATA	3ce668eff92c
EXEPATH	0fbf063809ef
GIT_EDITOR	b5bea41b6c62
GIT_TEST_DEBUG_UNSAFE_DIRECTORIES	b5bea41b6c62
GPU_FORCE_64BIT_PTR	5feceb66ffc8
GPU_MAX_ALLOC_PERCENT	ad5736686512
GPU_MAX_HEAP_SIZE	ad5736686512
GPU_SINGLE_ALLOC_PERCENT	ad5736686512
GPU_USE_SYNC_OBJECTS	6b86b273ff34
HF_HOME	28f9ea02e41c
HOME	d4b3df27cce7
HOMEDRIVE	82179da17054
HOMEPATH	129648f82462
LOCALAPPDATA	0eb7c4a42847
LOGONSERVER	99e3e3a6bd55
MSMPI_BENCHMARKS	5886ede56d0d
MSMPI_BIN	ab225cafcbc1
MSYSTEM	803bc5656d0a
NODEFAULTCURRENTDIRECTORYINEXEPATH	6b86b273ff34
NUMBER_OF_PROCESSORS	e7f6c011776e
OCULUSBASE	2f58fc1dbaf1
ONEDRIVE	d0a3435e6b2e
OPENCODE_GO_API_KEY	0f9396ae68ef
OS	7d33baefa2e1
PATH	779c8c627aac
PATHEXT	89c1053c9c88
PLINK_PROTOCOL	7f5a55cf3f88
POWERSHELL_DISTRIBUTION_CHANNEL	c1a87ebd94fd
PROCESSOR_ARCHITECTURE	558b624e3a60
PROCESSOR_IDENTIFIER	4f1dd98adf95
PROCESSOR_LEVEL	e7f6c011776e
PROCESSOR_REVISION	ca256af41d79
PROGRAMDATA	6bad29400e5e
PROGRAMFILES	c35aed82a5db
PROGRAMFILES(X86)	457757d025ae
PROGRAMW6432	c35aed82a5db
PSMODULEPATH	b16d79863195
PUBLIC	4d0ab4b61ca5
SESSIONNAME	29a40861bafe
SHELL	7be2f4d2c9bb
SYSTEMDRIVE	82179da17054
SYSTEMROOT	c2bb903d586d
TEMP	4bc77cffc4dd
TERM	f4093053b48f
TMP	4bc77cffc4dd
TRANSFORMERS_CACHE	815f1915d207
USERDOMAIN	46d9bc95685f
USERDOMAIN_ROAMINGPROFILE	46d9bc95685f
USERNAME	cfff836665c4
USERPROFILE	d4b3df27cce7
VBOX_MSI_INSTALL_PATH	943945d97312
VERCEL_PLUGIN_BOOTSTRAP_HINTS	e1040902e479
WINDIR	c2bb903d586d
WSLENV	78b7da41fcb2
WT_PROFILE_ID	f7c3145e35ad
WT_SESSION	3aad8c2f97e0
ZES_ENABLE_SYSMAN	6b86b273ff34
